city,osm_id,landuse_type,name,lat,lon,scraped_at
Kasserine,663188732,brownfield,,35.1632019,8.8472244,2026-02-15T13:38:00.900850
Kasserine,663188733,brownfield,,35.1634538,8.8478716,2026-02-15T13:38:00.900850
Kasserine,663188756,brownfield,,35.1624528,8.8468584,2026-02-15T13:38:00.900850
Kasserine,663196330,brownfield,,35.1619179,8.848491,2026-02-15T13:38:00.900850
Kasserine,663196340,village_green,,35.161836,8.8478147,2026-02-15T13:38:00.900850
Kasserine,663196348,brownfield,,35.1623947,8.8483608,2026-02-15T13:38:00.900850
Kasserine,663196380,brownfield,,35.1630045,8.8493507,2026-02-15T13:38:00.900850
Kasserine,663196385,brownfield,,35.1636667,8.8496991,2026-02-15T13:38:00.900850
Kasserine,663196389,brownfield,,35.1642445,8.84972,2026-02-15T13:38:00.900850
Kasserine,663204088,brownfield,,35.1622297,8.8506454,2026-02-15T13:38:00.900850
Kasserine,663204094,brownfield,,35.1625416,8.8507661,2026-02-15T13:38:00.900850
Kasserine,663204116,brownfield,,35.1636155,8.8500291,2026-02-15T13:38:00.900850
Kasserine,663261858,village_green,,35.1647941,8.8435411,2026-02-15T13:38:00.900850
Kasserine,663261893,village_green,,35.1641836,8.842556,2026-02-15T13:38:00.900850
Kasserine,663261940,village_green,,35.164483,8.8407611,2026-02-15T13:38:00.900850
Kasserine,663286155,village_green,,35.1613049,8.854334,2026-02-15T13:38:00.900850
Kasserine,663286168,brownfield,,35.1629012,8.8549094,2026-02-15T13:38:00.900850
Kasserine,663286186,brownfield,,35.1630978,8.8541061,2026-02-15T13:38:00.900850
Kasserine,663286193,brownfield,,35.1598806,8.8544548,2026-02-15T13:38:00.900850
Kasserine,663286194,brownfield,,35.1603708,8.8540055,2026-02-15T13:38:00.900850
Kasserine,663286195,brownfield,,35.160181,8.8549322,2026-02-15T13:38:00.900850
Kasserine,663286196,brownfield,,35.1610505,8.8547846,2026-02-15T13:38:00.900850
