etat_score,etat_prob_renove,standing_score,standing_prob_luxe
1,0.7146,2,0.3684
1,0.526,3,0.3544
1,0.5443,3,0.3595
1,0.6347,2,0.3498
1,0.6698,2,0.3313
1,0.6691,3,0.4009
1,0.5489,3,0.3638
1,0.6918,3,0.3808
1,0.8101,3,0.4129
1,0.7369,2,0.3606
1,0.6995,2,0.3455
1,0.6454,2,0.3427
1,0.5372,3,0.3792
1,0.6355,2,0.3242
1,0.6756,2,0.3193
1,0.6952,3,0.4048
1,0.7046,2,0.3802
1,0.5934,2,0.344
1,0.617,2,0.3567
1,0.5859,3,0.3528
1,0.7271,3,0.3906
1,0.6926,3,0.3847
1,0.6843,3,0.3691
1,0.6766,2,0.3632
1,0.6438,3,0.3795
0,0.4729,1,0.3207
1,0.5412,3,0.3611
1,0.5362,3,0.3584
1,0.7076,3,0.3962
1,0.5951,2,0.3719
1,0.7264,2,0.3728
1,0.6538,2,0.3507
1,0.7591,2,0.3241
1,0.6268,2,0.3471
1,0.7993,3,0.3978
1,0.625,2,0.3529
1,0.6266,2,0.3143
1,0.7007,2,0.3381
1,0.6858,2,0.3634
1,0.7687,2,0.36
1,0.6157,2,0.3547
1,0.5727,3,0.3881
1,0.6078,3,0.3729
1,0.6053,2,0.3381
1,0.6615,3,0.389
1,0.7387,2,0.3734
1,0.6718,3,0.4013
1,0.602,2,0.3582
1,0.586,3,0.3789
1,0.7146,2,0.3684
1,0.5289,2,0.3428
1,0.8199,2,0.3243
1,0.728,3,0.3938
1,0.6722,2,0.3301
1,0.7713,2,0.3907
1,0.7314,2,0.3762
1,0.7166,3,0.3605
1,0.6376,2,0.3442
1,0.5695,2,0.3333
1,0.6266,2,0.3143
1,0.7007,2,0.3381
1,0.6858,2,0.3634
1,0.7687,2,0.36
1,0.6157,2,0.3547
1,0.5727,3,0.3881
1,0.6078,3,0.3729
1,0.6053,2,0.3381
1,0.5623,2,0.3562
1,0.5877,2,0.3554
1,0.6867,2,0.384
1,0.6605,3,0.3666
0,0.4729,1,0.3207
1,0.6512,2,0.3631
1,0.5412,3,0.3611
1,0.6418,2,0.3548
1,0.7422,3,0.406
1,0.6135,2,0.3507
1,0.6135,2,0.3507
1,0.6135,2,0.3507
1,0.6691,3,0.3891
1,0.6334,3,0.3928
0,0.4729,1,0.3207
1,0.6968,2,0.3519
1,0.6598,2,0.3502
1,0.5289,2,0.3428
1,0.6842,3,0.374
1,0.7058,3,0.3989
1,0.6413,2,0.3624
1,0.7492,2,0.3709
1,0.6605,2,0.3655
1,0.6164,3,0.3766
1,0.6976,2,0.3646
1,0.7271,3,0.3906
0,0.4729,1,0.3207
1,0.7079,2,0.3514
1,0.6145,2,0.3683
0,0.4729,1,0.3207
1,0.6953,2,0.3709
1,0.6867,2,0.384
1,0.5289,2,0.3428
1,0.5861,2,0.3446
1,0.716,2,0.3455
1,0.7118,3,0.3712
1,0.5895,3,0.338
1,0.6087,3,0.4098
1,0.7514,2,0.3849
1,0.6746,2,0.353
1,0.6505,3,0.3576
1,0.5412,3,0.3611
1,0.6487,3,0.3885
1,0.6615,3,0.389
1,0.5742,2,0.3316
1,0.6678,3,0.376
1,0.6998,2,0.3506
0,0.4729,2,0.3304
0,0.4729,1,0.3207
1,0.6528,2,0.3615
1,0.5412,3,0.3611
1,0.5905,3,0.3388
1,0.5636,2,0.3486
1,0.514,3,0.3564
1,0.6933,2,0.3668
1,0.788,2,0.341
1,0.6862,2,0.3589
1,0.5721,2,0.3659
1,0.6521,2,0.3261
1,0.6136,2,0.3335
1,0.5975,3,0.3939
1,0.6709,2,0.3588
1,0.7038,2,0.3204
1,0.6353,2,0.327
1,0.5486,3,0.3678
1,0.7733,2,0.3484
1,0.6235,2,0.3457
1,0.6767,3,0.3915
1,0.646,3,0.393
1,0.7271,3,0.3906
1,0.6624,2,0.3516
1,0.6812,2,0.3591
1,0.6476,2,0.3601
1,0.6153,2,0.3411
0,0.4729,1,0.3207
1,0.5647,3,0.362
1,0.7216,2,0.3787
1,0.5412,3,0.3611
1,0.5687,3,0.3858
1,0.6603,2,0.3641
1,0.5992,3,0.382
1,0.7097,3,0.4104
1,0.649,2,0.3574
1,0.6995,3,0.3671
1,0.7153,3,0.3891
1,0.6787,2,0.3336
1,0.583,2,0.3104
1,0.716,3,0.3952
1,0.7465,2,0.3588
1,0.6948,2,0.3749
1,0.6615,3,0.389
1,0.8138,2,0.4041
1,0.6314,2,0.3552
1,0.5134,3,0.3509
0,0.4729,1,0.3207
1,0.594,3,0.3558
1,0.5289,2,0.3428
1,0.6476,3,0.4013
1,0.599,3,0.3808
1,0.7044,2,0.3833
1,0.6774,2,0.3761
1,0.5992,3,0.382
1,0.7533,3,0.4099
1,0.7165,2,0.3663
1,0.5667,3,0.3512
1,0.7112,3,0.3827
1,0.6121,2,0.3574
1,0.5439,2,0.3457
0,0.4729,2,0.3737
1,0.6502,3,0.3359
1,0.62,2,0.3606
1,0.6924,3,0.4112
1,0.5213,2,0.3249
1,0.6947,2,0.3523
1,0.5859,3,0.3528
1,0.5877,2,0.3554
1,0.697,2,0.3607
1,0.5257,2,0.3275
1,0.607,3,0.4122
0,0.4729,1,0.3207
1,0.6994,3,0.3856
1,0.6765,3,0.3677
1,0.6969,3,0.3755
1,0.5461,3,0.3515
1,0.6881,3,0.3569
1,0.6032,3,0.3809
1,0.639,2,0.3249
1,0.6524,2,0.3631
1,0.6457,3,0.3741
1,0.5845,3,0.3764
1,0.617,3,0.3611
1,0.6708,3,0.3765
0,0.4729,2,0.346
1,0.7497,2,0.3528
1,0.6326,3,0.3726
1,0.614,2,0.3607
1,0.5373,3,0.3605
1,0.6314,2,0.3601
1,0.5737,3,0.355
1,0.556,3,0.3484
1,0.5647,3,0.362
1,0.6314,2,0.3552
1,0.5134,3,0.3509
0,0.4729,1,0.3207
1,0.594,3,0.3558
1,0.7129,2,0.3794
1,0.7533,3,0.4099
1,0.5747,2,0.3311
1,0.5537,2,0.3397
