gouvernorat_enc,ville_enc,lat,lon,surface_m2,nb_pieces,nb_chambres,score_attractivite,market_tension,cycle_marche,prix_region_median,text_embedding_score,nb_images,source_enc,has_ascenseur,has_meuble,has_terrasse,has_piscine,has_vue_mer,has_garage,has_securite,has_climatisation,has_chauffage,has_cuisine_equip,has_double_vitrage,has_porte_blindee,has_concierge,has_jardin,has_standing,has_vue_montagne,prix,image_url
3,0.32,36.8,10.1,104.0,3.0,2.0,0.5,0.2195,2.0,110184.0,0.3156,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,329000.0,https://www.mubawab-media.com/ad/8/111/785F/h/01%20%281%29_79962344_79962354.avif
23,0.6867,36.819,10.2358,115.0,3.0,2.0,0.5,0.517,2.0,43985.0,0.3168,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635000.0,nan
23,0.4,36.8769,10.3247,68.0,2.0,1.0,0.5,0.8015,2.0,2562.03,0.3318,4,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,390000.0,https://www.mubawab-media.com/ad/7/903/086F/h/VUE%206_44687753_73907088.avif
1,0.3533,36.899,10.2358,104.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.3156,4,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,584517.0,https://www.mubawab-media.com/ad/8/257/523F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_1faa8bf4_81462126.avif
23,0.4,36.8769,10.3247,297.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.3152,4,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1200000.0,https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1150624_property_large_80906258.avif
1,0.3533,36.899,10.2358,110.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.3152,4,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,395000.0,https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.03%20%285%29_81754905.avif
1,0.3533,36.899,10.2358,100.0,2.0,1.0,0.5,0.4235,2.0,43985.0,0.2738,4,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,345000.0,https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%288%29_81829679.avif
1,0.32,36.8665,10.1647,128.0,2.0,1.0,0.5,0.5305,2.0,43985.0,0.3132,4,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,285000.0,https://www.mubawab-media.com/ad/8/303/407F/h/thumb_1278820_property_large_81967755.avif
23,0.4,36.8769,10.3247,123.0,1.0,2.0,0.5,0.8015,2.0,2562.03,0.3234,4,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,550000.0,https://www.mubawab-media.com/ad/8/270/110F/h/thumb_1224436_property_large_81609791.avif
23,0.4,36.8769,10.3247,172.0,1.0,4.0,0.5,0.8015,2.0,2562.03,0.3116,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,650000.0,https://www.mubawab-media.com/ad/8/236/144F/h/thumb_1186202_property_large_81242749.avif
23,0.6867,36.819,10.1658,201.0,4.0,3.0,0.5,0.5524,2.0,2562.03,0.3345,4,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,980000.0,https://www.mubawab-media.com/ad/8/276/869F/h/l1_81681748.avif
23,0.6867,36.819,10.1658,231.0,5.0,4.0,0.5,0.5524,2.0,2562.03,0.3403,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,980000.0,https://www.mubawab-media.com/ad/8/177/834F/h/thumb_1182702_property_big_81417350.avif
1,0.32,36.8665,10.1647,174.0,5.0,4.0,0.5,0.5305,2.0,43985.0,0.3573,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,500000.0,https://www.mubawab-media.com/ad/8/303/115F/h/thumb_1278522_property_large_81964458.avif
23,0.4,36.8769,10.3247,138.0,3.0,3.0,0.5,0.8015,2.0,2562.03,0.3136,4,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,394000.0,https://www.mubawab-media.com/ad/8/084/903F/h/logo1_81960382.avif
1,0.3533,36.899,10.2358,136.0,4.0,3.0,0.5,0.4235,2.0,43985.0,0.3362,4,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,430000.0,https://www.mubawab-media.com/ad/8/289/614F/h/SALON%20%283%29_81818091.avif
23,0.4,36.8769,10.3247,90.0,2.0,2.0,0.5,0.8015,2.0,2562.03,0.3184,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,275000.0,https://www.mubawab-media.com/ad/8/277/097F/h/thumb_1232208_property_large_81684435.avif
8,0.1422,35.6781,10.0963,95.0,3.0,2.0,0.5,0.2424,2.0,178346.92,0.2802,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,223532.0,https://www.mubawab-media.com/ad/8/255/537F/h/WhatsApp%20Image%202025-11-22%20%C3%A0%2013.42.29_9d2597ab_81460919.avif
1,0.32,36.8665,10.1647,140.0,4.0,3.0,0.5,0.5305,2.0,43985.0,0.3037,4,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,380000.0,https://www.mubawab-media.com/ad/8/304/393F/h/fal02%20%281%29_81977459.avif
1,0.32,36.8665,10.1647,150.0,3.0,3.0,0.5,0.5305,2.0,43985.0,0.2738,4,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,450000.0,https://www.mubawab-media.com/ad/8/287/221F/h/thumb_1240521_property_large_81793021.avif
1,0.32,36.8665,10.1647,158.0,4.0,3.0,0.5,0.5305,2.0,43985.0,0.3192,4,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,400000.0,https://www.mubawab-media.com/ad/8/304/376F/h/APP%20A6%20IMM%20NOUR%20P0_81977274.avif
