gouvernorat_enc,ville_enc,lat,lon,surface_m2,nb_pieces,nb_chambres,score_attractivite,market_tension,cycle_marche,prix_region_median,text_embedding_score,nb_images,source_enc,has_ascenseur,has_meuble,has_terrasse,has_piscine,has_vue_mer,has_garage,has_securite,has_climatisation,has_chauffage,has_cuisine_equip,has_double_vitrage,has_porte_blindee,has_concierge,has_jardin,has_standing,has_vue_montagne,prix,image_url
23,0.7037,36.819,10.1658,180.0,2.0,2.0,0.5,0.5524,2.0,2562.03,0.3407,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2200.0,https://www.mubawab-media.com/ad/8/301/122F/h/thumb_335694_property_xlarge_81944015.avif
23,0.8148,36.8769,10.3247,110.0,3.0,2.0,0.5,0.8015,2.0,2562.03,0.3371,4,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,3500.0,https://www.mubawab-media.com/ad/8/298/834F/h/image_1_81920957.avif
23,0.7037,36.819,10.1658,110.0,2.0,1.0,0.5,0.5524,2.0,2562.03,0.3407,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2200.0,https://www.mubawab-media.com/ad/8/294/714F/h/thumb_1268960_property_large_81872142.avif
23,0.7037,36.819,10.1658,140.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.3415,4,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,2300.0,https://www.mubawab-media.com/ad/8/298/695F/h/thumb_1276733_property_xlarge_81947614.avif
23,0.8148,36.8769,10.3247,160.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.2782,4,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2300.0,https://www.mubawab-media.com/ad/8/295/199F/h/thumb_1269208_property_large_81879830.avif
23,0.8148,36.819,10.2358,110.0,2.0,1.0,0.5,0.517,2.0,43985.0,0.3168,3,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,2000.0,nan
23,0.7037,36.819,10.1658,60.0,1.0,1.0,0.5,0.5524,2.0,2562.03,0.3391,4,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,2200.0,https://www.mubawab-media.com/ad/8/278/781F/h/thumb_1233075_property_large_81703183.avif
23,0.8148,36.8769,10.3247,110.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.3144,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2500.0,https://www.mubawab-media.com/ad/8/296/901F/h/thumb_1270760_property_large_81898047.avif
23,0.8148,36.8769,10.3247,130.0,3.0,2.0,0.5,0.8015,2.0,2562.03,0.2778,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2500.0,https://www.mubawab-media.com/ad/8/296/356F/h/thumb_1270130_property_large_81892415.avif
23,0.8148,36.8769,10.3247,110.0,3.0,2.0,0.5,0.8015,2.0,2562.03,0.3148,4,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,2500.0,https://www.mubawab-media.com/ad/8/296/415F/h/thumb_1270269_property_large_81893117.avif
23,0.8148,36.8769,10.3247,160.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.3309,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2800.0,https://www.mubawab-media.com/ad/8/296/890F/h/thumb_1270736_property_large_81897949.avif
1,0.3704,36.899,10.2358,110.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.2746,4,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1350.0,https://www.mubawab-media.com/ad/8/298/938F/h/thumb_1272848_property_large_81922102.avif
23,0.7037,36.819,10.1658,110.0,2.0,1.0,0.5,0.5524,2.0,2562.03,0.3363,4,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1600.0,https://www.mubawab-media.com/ad/8/230/004F/h/b0e00a5b-77d7-4290-833c-9467ed237d85_81180161.avif
23,0.7037,36.819,10.1658,110.0,2.0,1.0,0.5,0.5524,2.0,2562.03,0.3411,4,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1800.0,https://www.mubawab-media.com/ad/8/228/308F/h/5458b6a8-86cb-4922-85dd-7f452b651fe7_81902756.avif
23,0.8148,36.8769,10.3247,200.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.316,4,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,4600.0,https://www.mubawab-media.com/ad/8/268/938F/h/thumb_1223167_property_large_81597483.avif
20,0.3333,35.8604,10.5953,115.0,1.0,2.0,0.5,0.3642,2.0,150620.48,0.3172,4,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1500.0,https://www.mubawab-media.com/ad/8/305/616F/h/WhatsApp%20Image%202026-02-18%20at%2012.57.14%20%284%29_81988906.avif
14,0.3148,36.8,10.1,110.0,2.0,1.0,0.5,0.3221,2.0,110184.0,0.3172,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,750.0,https://www.mubawab-media.com/ad/8/305/610F/h/0_81988879.avif
23,0.8148,36.8769,10.3247,90.0,2.0,1.0,0.5,0.8015,2.0,2562.03,0.3176,4,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,2300.0,https://www.mubawab-media.com/ad/8/227/442F/h/WhatsApp%20Imageff%202025-10-01%20at%2018.01.09_81149314.avif
16,0.3611,36.4561,10.7376,110.0,5.0,2.0,0.5,0.4552,2.0,154974.0,0.2742,4,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1300.0,https://www.mubawab-media.com/ad/8/305/606F/h/2_81988791.avif
14,0.3148,36.8,10.1,110.0,3.0,2.0,0.5,0.3221,2.0,110184.0,0.3172,4,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,950.0,https://www.mubawab-media.com/ad/8/305/604F/h/WhatsApp%20Image%202026-02-17%20at%2011.04.32_81988755.avif
1,0.3704,36.899,10.2358,60.0,1.0,1.0,0.5,0.4235,2.0,43985.0,0.312,4,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1000.0,https://www.mubawab-media.com/ad/8/305/556F/h/WhatsApp%20Image%202026-02-18%20at%2013.50.02%20%281%29_81988361.avif
20,0.3333,35.8604,10.5953,110.0,1.0,1.0,0.5,0.3642,2.0,150620.48,0.3124,4,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,900.0,https://www.mubawab-media.com/ad/8/305/587F/h/thumb_65299_property_xlarge_81988622.avif
1,0.3704,36.899,10.2358,100.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.3,4,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1550.0,https://www.mubawab-media.com/ad/8/305/584F/h/IMG_9256_81988608.avif
23,0.463,36.819,10.2358,130.0,3.0,2.0,0.5,0.517,2.0,43985.0,0.3168,3,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1700.0,nan
23,0.8148,36.8769,10.3247,200.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.3258,4,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,3000.0,https://www.mubawab-media.com/ad/8/302/774F/h/20260212_113541_81961187.avif
1,0.3889,36.8665,10.1647,115.0,2.0,2.0,0.5,0.5305,2.0,43985.0,0.2774,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1300.0,https://www.mubawab-media.com/ad/8/305/504F/h/thumb_1280979_property_large_81987688.avif
23,0.463,36.8,10.1,90.0,3.0,2.0,0.5,0.3453,2.0,110184.0,0.314,4,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1600.0,https://www.mubawab-media.com/ad/8/293/014F/h/8ad1d31d-7650-4d80-9ab5-35c7d8551c3b%20%281%29_81853764.avif
23,0.7037,36.819,10.1658,180.0,4.0,3.0,0.5,0.5524,2.0,2562.03,0.3544,4,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,2900.0,https://www.mubawab-media.com/ad/8/299/178F/h/1000077237_81941476.avif
23,0.8148,36.8769,10.3247,100.0,3.0,2.0,0.5,0.8015,2.0,2562.03,0.3278,4,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,2500.0,https://www.mubawab-media.com/ad/8/258/542F/h/IMG-20240423-WA0012_81472802.avif
23,0.8148,36.8769,10.3247,185.0,3.0,2.0,0.5,0.8015,2.0,2562.03,0.3365,4,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,4300.0,https://www.mubawab-media.com/ad/8/302/667F/h/photo_0_81960076.avif
20,0.3333,35.8604,10.5953,80.0,3.0,2.0,0.5,0.3642,2.0,150620.48,0.3164,4,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,900.0,https://www.mubawab-media.com/ad/8/305/426F/h/Design%20sans%20titre%20%284%29_81987067.avif
23,0.8148,36.8769,10.3247,155.0,3.0,2.0,0.5,0.8015,2.0,2562.03,0.3286,4,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,4200.0,https://www.mubawab-media.com/ad/8/298/229F/h/photo_0_81912402.avif
23,0.8148,36.819,10.2358,80.0,3.0,2.0,0.5,0.517,2.0,43985.0,0.3168,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1500.0,nan
20,0.4444,36.8,10.1,60.0,1.0,1.0,0.5,0.3244,2.0,110184.0,0.2706,4,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1500.0,https://www.mubawab-media.com/ad/8/190/837F/h/gallery_80770601.avif
23,0.8148,36.8769,10.3247,145.0,1.0,2.0,0.5,0.8015,2.0,2562.03,0.3172,4,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1400.0,https://www.mubawab-media.com/ad/8/304/106F/h/IMG-20260121-WA0019_81974364.avif
20,0.4259,36.8,10.1,100.0,3.0,2.0,0.5,0.334,2.0,110184.0,0.2754,4,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1400.0,https://www.mubawab-media.com/ad/8/287/923F/h/Copie%20de%20Copie%20de%20Visuel%20Agences%20Sousse%20Corniche%20%288%29_81800419.avif
20,0.4259,36.8,10.1,100.0,3.0,2.0,0.5,0.334,2.0,110184.0,0.2762,4,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1250.0,https://www.mubawab-media.com/ad/8/268/573F/h/Copie%20de%20Copie%20de%20Visuel%20Agences%20Sousse%20Corniche%20%2850%29_81593728.avif
20,0.4259,36.8,10.1,160.0,3.0,2.0,0.5,0.334,2.0,110184.0,0.3387,4,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1500.0,https://www.mubawab-media.com/ad/8/279/609F/h/Copie%20de%20Copie%20de%20Visuel%20Agences%20Sousse%20Corniche%20%2858%29_81712069.avif
23,0.8148,36.8769,10.3247,110.0,5.0,4.0,0.5,0.8015,2.0,2562.03,0.3294,4,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,4700.0,https://www.mubawab-media.com/ad/8/096/077F/h/image_1_79808546.avif
23,0.7037,36.819,10.1658,110.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.3407,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2200.0,https://www.mubawab-media.com/ad/8/288/849F/h/thumb_1262413_property_xlarge_81810228.avif
23,0.8148,36.8769,10.3247,300.0,5.0,5.0,0.5,0.8015,2.0,2562.03,0.3132,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,3700.0,https://www.mubawab-media.com/ad/8/258/057F/h/thumb_1214571_property_xlarge_81467879.avif
1,0.3704,36.899,10.2358,100.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.2706,4,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,2700.0,https://www.mubawab-media.com/ad/8/304/844F/h/gallery_81981199.avif
